event_type	onset	duration	height	word
6	337.137	0.000	0	in
6	337.348	0.000	0	plays
6	338.085	0.000	0	for
6	338.270	0.000	0	the
6	338.401	0.000	0	queen
6	338.651	0.000	0	of
6	338.757	0.000	0	England.
6	340.166	0.000	0	He
6	340.285	0.000	0	made
6	340.614	0.000	0	friends
6	341.180	0.000	0	with
6	341.338	0.000	0	powerful
6	341.957	0.000	0	noblemen.
6	343.498	0.000	0	But
6	343.735	0.000	0	what
6	343.972	0.000	0	about
6	344.249	0.000	0	Shakespeare's
6	345.197	0.000	0	day-to-day
6	345.908	0.000	0	life?
6	347.015	0.000	0	What
6	347.212	0.000	0	kind
6	347.528	0.000	0	of
6	347.660	0.000	0	man
6	348.121	0.000	0	and
6	348.661	0.000	0	was
6	348.921	0.000	0	father
6	348.990	0.000	0	he?
6	350.149	0.000	0	What
6	350.373	0.000	0	made
6	350.689	0.000	0	him
6	350.847	0.000	0	write
6	351.124	0.000	0	plays?
6	352.507	0.000	0	
4	353.507	12.691	1	
7	354.001	0.000	0	Laamvi
7	354.379	0.000	0	obw
7	354.725	0.000	0	ujoq
7	354.988	0.000	0	wpi
7	355.137	0.000	0	galxf
7	355.515	0.000	0	rcudx
7	355.943	0.000	0	movls
7	356.207	0.000	0	lonviyfuptil
7	356.890	0.000	0	it
7	357.038	0.000	0	beb
7	357.268	0.000	0	kvoxp.
7	358.462	0.000	0	Rabuat
7	358.972	0.000	0	opw
7	359.153	0.000	0	Vdiulyuq
7	359.515	0.000	0	leyarunb
7	360.272	0.000	0	joru
7	360.396	0.000	0	xauy
7	360.684	0.000	0	lobox
7	361.128	0.000	0	eq
7	361.309	0.000	0	koqz
7	361.589	0.000	0	un
7	361.680	0.000	0	wbuv,
7	362.346	0.000	0	cafs
7	362.577	0.000	0	uf
7	362.741	0.000	0	Tacoa
7	363.067	0.000	0	oyf
7	363.202	0.000	0	Hisuux,
7	364.079	0.000	0	Cipfadl,
7	364.972	0.000	0	idh
7	365.178	0.000	0	Toxjup.
7	366.198	0.000	0	
3	381.629	17.318	1	
6	382.213	0.000	0	CHAPTER
6	382.909	0.000	0	1
6	384.010	0.000	0	LITTLE
6	384.369	0.000	0	WILL.
6	385.942	0.000	0	Baby
6	386.323	0.000	0	Will
6	386.818	0.000	0	was
6	387.042	0.000	0	baptized
6	387.851	0.000	0	in
6	388.008	0.000	0	Stratford's
6	388.727	0.000	0	Holy
6	389.131	0.000	0	Trinity
6	389.603	0.000	0	Church,
6	390.411	0.000	0	in
6	390.658	0.000	0	1564.
6	392.613	0.000	0	The
6	392.837	0.000	0	exact
6	393.354	0.000	0	date
6	393.623	0.000	0	of
6	393.736	0.000	0	his
6	393.960	0.000	0	birth
6	394.219	0.000	0	is
6	394.376	0.000	0	unknown,
6	395.544	0.000	0	but
6	395.701	0.000	0	it
6	395.870	0.000	0	is
6	396.027	0.000	0	celebrated
6	397.082	0.000	0	on
6	397.273	0.000	0	April
6	397.734	0.000	0	23.
6	398.947	0.000	0	
4	399.947	12.706	1	
7	400.375	0.000	0	Pulg
7	400.738	0.000	0	cieygu
7	401.051	0.000	0	snevf
7	401.249	0.000	0	Pcuhayfoino
7	402.040	0.000	0	ap
7	402.221	0.000	0	nnu
7	402.402	0.000	0	qsuovaxf
7	402.798	0.000	0	spupltorgh
7	403.309	0.000	0	hne
7	403.482	0.000	0	alav
7	403.828	0.000	0	monac.
7	404.874	0.000	0	Obiwwxyuzb
7	405.295	0.000	0	Pqewimjoigu
7	405.913	0.000	0	kguma
7	406.473	0.000	0	jem
7	406.646	0.000	0	liot
7	406.868	0.000	0	lgegrjoviq
7	407.470	0.000	0	oqwa
7	407.750	0.000	0	figotv
7	408.129	0.000	0	ag
7	408.244	0.000	0	givyaewom,
7	409.406	0.000	0	bpin
7	409.653	0.000	0	Bjepudw
7	410.313	0.000	0	qe
7	410.461	0.000	0	Wijetufo
7	411.450	0.000	0	ne
7	411.664	0.000	0	Rjefaha.
7	412.653	0.000	0	
3	428.084	18.721	1	
6	428.497	0.000	0	In
6	428.740	0.000	0	England,
6	429.808	0.000	0	the
6	429.978	0.000	0	day
6	430.245	0.000	0	is
6	430.342	0.000	0	also
6	430.694	0.000	0	a
6	430.779	0.000	0	holiday,
6	431.872	0.000	0	filled
6	432.103	0.000	0	with
6	432.394	0.000	0	playacting
6	432.965	0.000	0	and
6	433.098	0.000	0	parties.
6	434.324	0.000	0	It
6	434.531	0.000	0	seems
6	434.931	0.000	0	a
6	435.053	0.000	0	good
6	435.247	0.000	0	day
6	435.563	0.000	0	to
6	435.684	0.000	0	honor
6	436.036	0.000	0	England's
6	436.595	0.000	0	greatest
6	437.020	0.000	0	playwrights
6	437.542	0.000	0	as
6	437.748	0.000	0	well.
6	439.484	0.000	0	The
6	439.593	0.000	0	Shakespeare
6	440.103	0.000	0	family
6	440.553	0.000	0	lived
6	441.172	0.000	0	in
6	441.305	0.000	0	Stratford-upon-Avon,
6	442.726	0.000	0	England,
6	443.721	0.000	0	about
6	444.001	0.000	0	100
6	444.583	0.000	0	miles
6	444.984	0.000	0	northwest
6	445.700	0.000	0	of
6	445.846	0.000	0	London.
6	446.805	0.000	0	
4	447.805	16.764	1	
7	448.564	0.000	0	Yebkuus
7	449.009	0.000	0	Fdeyuzguiwi—
7	450.836	0.000	0	hua
7	451.085	0.000	0	nkacitbg
7	451.590	0.000	0	sliz
